job_category,employee_residence,experience_level,employment_type,work_setting,company_size,salary_in_usd_2023
BI and Visualization,United States,Mid-level,Full-time,Remote,M,83339.0
Data Analysis,United States,Senior,Full-time,Remote,M,112200.0
Data Analysis,United States,Senior,Full-time,Remote,M,91800.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,200000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,160000.0
Machine Learning and AI,France,Senior,Full-time,Hybrid,M,161952.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,160000.0
Data Science and Research,United States,Entry-level,Part-time,In-person,M,133000.0
Data Science and Research,United States,Entry-level,Part-time,In-person,M,58300.0
Data Engineering,United States,Senior,Full-time,In-person,M,254000.0
Data Engineering,United States,Senior,Full-time,In-person,M,159000.0
Data Engineering,United States,Senior,Full-time,In-person,M,170000.0
Data Engineering,United States,Senior,Full-time,In-person,M,85000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,130500.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,116000.0
Data Science and Research,United States,Entry-level,Full-time,Remote,M,81400.0
Data Science and Research,United States,Entry-level,Full-time,Remote,M,43500.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,169000.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,92000.0
Data Analysis,United States,Senior,Full-time,In-person,M,166000.0
Data Analysis,United States,Senior,Full-time,In-person,M,73100.0
Data Science and Research,United States,Senior,Full-time,In-person,M,190000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,165000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,305600.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,146600.0
Data Analysis,United States,Senior,Full-time,In-person,M,150000.0
Data Analysis,United States,Senior,Full-time,In-person,M,120000.0
Data Engineering,United States,Senior,Full-time,In-person,M,275000.0
Data Engineering,United States,Senior,Full-time,In-person,M,146400.0
Data Science and Research,United States,Senior,Full-time,In-person,M,208500.0
Data Science and Research,United States,Senior,Full-time,In-person,M,165000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,258700.0
Data Science and Research,United States,Senior,Full-time,In-person,M,172500.0
Data Engineering,United States,Senior,Full-time,Remote,M,185000.0
BI and Visualization,United States,Senior,Full-time,In-person,M,198200.0
BI and Visualization,United States,Senior,Full-time,In-person,M,110200.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,166000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,73100.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,212000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,93300.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,212000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,93300.0
Data Engineering,United States,Senior,Full-time,In-person,M,166000.0
Data Engineering,United States,Senior,Full-time,In-person,M,73100.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,167100.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,111400.0
Data Science and Research,United States,Entry-level,Full-time,Remote,M,166000.0
Data Science and Research,United States,Entry-level,Full-time,Remote,M,73100.0
Data Analysis,United States,Executive,Full-time,In-person,M,170000.0
Data Analysis,United States,Executive,Full-time,In-person,M,145000.0
Data Architecture and Modeling,United States,Senior,Full-time,Remote,M,170000.0
Data Architecture and Modeling,United States,Senior,Full-time,Remote,M,135000.0
Data Engineering,United States,Senior,Full-time,In-person,M,139810.0
Data Engineering,United States,Senior,Full-time,In-person,M,95325.0
Data Science and Research,United States,Senior,Full-time,In-person,M,278700.0
Data Science and Research,United States,Senior,Full-time,In-person,M,159300.0
Machine Learning and AI,Canada,Senior,Full-time,Remote,M,226700.0
Machine Learning and AI,Canada,Senior,Full-time,Remote,M,151100.0
Data Engineering,United States,Senior,Full-time,Remote,M,247300.0
Data Engineering,United States,Senior,Full-time,Remote,M,139700.0
Data Science and Research,United States,Senior,Full-time,Remote,M,188000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,139000.0
Data Engineering,United States,Senior,Full-time,In-person,M,160000.0
Data Engineering,United States,Senior,Full-time,In-person,M,94000.0
Leadership and Management,United States,Mid-level,Full-time,Remote,M,127000.0
Leadership and Management,United States,Mid-level,Full-time,Remote,M,65000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,276000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,174000.0
Data Science and Research,United States,Senior,Full-time,In-person,L,260000.0
Data Science and Research,United States,Senior,Full-time,In-person,L,136000.0
Leadership and Management,United States,Executive,Full-time,Remote,M,250000.0
Leadership and Management,United States,Executive,Full-time,Remote,M,210000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,238000.0
Data Science and Research,United States,Executive,Full-time,In-person,M,212000.0
Data Science and Research,United States,Executive,Full-time,In-person,M,190000.0
Data Science and Research,United States,Senior,Full-time,In-person,L,261500.0
Data Science and Research,United States,Senior,Full-time,In-person,L,134500.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,L,239000.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,L,122900.0
Data Science and Research,Canada,Senior,Full-time,Remote,M,158500.0
Data Science and Research,Canada,Senior,Full-time,Remote,M,115000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,331640.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,267720.0
Data Engineering,United States,Senior,Full-time,In-person,M,180000.0
Data Engineering,United States,Senior,Full-time,In-person,M,90000.0
Data Analysis,United States,Mid-level,Full-time,Remote,M,83000.0
Data Analysis,United States,Mid-level,Full-time,Remote,M,66000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,224250.0
Data Science and Research,United States,Senior,Full-time,In-person,M,121550.0
Data Engineering,United States,Mid-level,Full-time,Remote,M,109000.0
Data Engineering,United States,Mid-level,Full-time,Remote,M,100000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,205400.0
Data Science and Research,United States,Senior,Full-time,In-person,M,92900.0
Machine Learning and AI,United States,Entry-level,Full-time,In-person,M,220000.0
Machine Learning and AI,United States,Entry-level,Full-time,In-person,M,130000.0
Data Science and Research,United States,Mid-level,Full-time,Remote,M,160000.0
Data Science and Research,United States,Mid-level,Full-time,Remote,M,110000.0
Data Engineering,United States,Senior,Full-time,In-person,M,230000.0
BI and Visualization,United States,Senior,Full-time,Remote,M,186030.0
BI and Visualization,United States,Senior,Full-time,Remote,M,110200.0
Data Science and Research,United States,Mid-level,Full-time,Remote,M,130000.0
Data Science and Research,United States,Mid-level,Full-time,Remote,M,100000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,242000.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,106200.0
Data Science and Research,United States,Executive,Full-time,Remote,M,220000.0
Data Science and Research,United States,Executive,Full-time,Remote,M,120000.0
Data Science and Research,United States,Entry-level,Full-time,In-person,M,91200.0
Data Science and Research,United States,Entry-level,Full-time,In-person,M,58200.0
Data Science and Research,United States,Senior,Full-time,Remote,M,192000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,178000.0
Data Engineering,United States,Senior,Full-time,Remote,M,210000.0
Data Engineering,United States,Senior,Full-time,Remote,M,130000.0
Data Science and Research,United States,Entry-level,Full-time,In-person,M,160000.0
Data Science and Research,United States,Entry-level,Full-time,In-person,M,150000.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,M,206000.0
Data Architecture and Modeling,United States,Senior,Full-time,In-person,M,134000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,180000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,135000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,200000.0
Data Science and Research,United States,Senior,Full-time,In-person,M,120000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,212000.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,93300.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,106700.0
Data Engineering,United States,Mid-level,Full-time,In-person,M,57700.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,266400.0
Machine Learning and AI,United States,Senior,Full-time,In-person,M,173300.0
Data Analysis,United States,Mid-level,Full-time,In-person,M,125000.0
Data Analysis,United States,Mid-level,Full-time,In-person,M,100000.0
BI and Visualization,United States,Senior,Full-time,In-person,L,165600.0
BI and Visualization,United States,Senior,Full-time,In-person,L,65800.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,210400.0
Data Science and Research,United States,Mid-level,Full-time,In-person,M,170500.0
Data Engineering,United States,Mid-level,Full-time,Remote,M,170000.0
Data Engineering,United States,Mid-level,Full-time,Remote,M,160000.0
Data Science and Research,United States,Senior,Full-time,Remote,M,185400.0
Data Science and Research,United States,Senior,Full-time,Remote,M,81536.0
Data Analysis,United States,Senior,Full-time,In-person,M,193000.0
Data Analysis,United States,Senior,Full-time,In-person,M,158000.0
Data Engineering,United States,Senior,Full-time,Remote,M,170000.0
Data Engineering,United States,Senior,Full-time,Remote,M,100000.0
Data Analysis,United States,Mid-level,Full-time,Remote,M,95000.0
Data Analysis,United States,Mid-level,Full-time,Remote,M,75000.0
Data Analysis,United States,Mid-level,Full-time,In-person,M,115000.0
Data Analysis,United States,Mid-level,Full-time,In-person,M,105000.0
Data Engineering,United States,Senior,Full-time,In-person,M,161900.0
Data Analysis,United States,Mid-level,Full-time,Remote,M,80000.0
